Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0.0161205	1	0	4	-86.0218
0.0161205	4	0	6	-83.4141
0.0161205	7	0	8	-80.8887
0.0161205	1	0	3	-81.3827
0.0161205	4	0	5	-85.8271
0.0171161	1	0	4	-86.0218
0.0183661	4	0	6	-83.4141
0.0201786	4	0	5	-85.8271
0.0203661	7	0	8	-80.8887
0.0209911	1	0	3	-81.3827
0.0221161	1	0	4	-86.0218
0.0232143	4	1	6	-83.4759
0.0233661	4	0	6	-83.4141
0.0251786	4	0	5	-85.8271
0.0253661	7	0	8	-80.8887
0.0254643	4	1	5	-85.8889
0.0259911	1	0	3	-81.3827
0.0271161	1	0	4	-86.0218
0.0283661	4	0	6	-83.4141
0.0301786	4	0	5	-85.8271
0.0303661	7	0	8	-80.8887
0.0309911	1	0	3	-81.3827
0.0321161	1	0	4	-86.0218
0.0329643	1	1	3	-81.4445
0.0333661	4	0	6	-83.4141
0.0351786	4	0	5	-85.8271
0.0353661	7	0	8	-80.8887
0.0354643	7	1	8	-80.9505
0.0359643	1	1	4	-86.0836
0.0359911	1	0	3	-81.3827
0.0371161	1	0	4	-86.0218
0.0383661	4	0	6	-83.4141
0.0401786	4	0	5	-85.8271
0.0403661	7	0	8	-80.8887
0.0409911	1	0	3	-81.3827
0.0421161	1	0	4	-86.0218
0.0432143	4	1	6	-83.4759
0.0433661	4	0	6	-83.4141
0.0451786	4	0	5	-85.8271
0.0453661	7	0	8	-80.8887
0.0454643	4	1	5	-85.8889
0.0459911	1	0	3	-81.3827
0.0471161	1	0	4	-86.0218
0.0483661	4	0	6	-83.4141
0.0501786	4	0	5	-85.8271
0.0503661	7	0	8	-80.8887
0.0509911	1	0	3	-81.3827
0.0521161	1	0	4	-86.0218
0.0529643	1	1	3	-81.4445
0.0533661	4	0	6	-83.4141
0.0551786	4	0	5	-85.8271
0.0553661	7	0	8	-80.8887
0.0554643	7	1	8	-80.9505
0.0559643	1	1	4	-86.0836
0.0559911	1	0	3	-81.3827
0.0571161	1	0	4	-86.0218
0.0583661	4	0	6	-83.4141
0.0601786	4	0	5	-85.8271
0.0603661	7	0	8	-80.8887
0.0609911	1	0	3	-81.3827
0.0621161	1	0	4	-86.0218
0.0632143	4	1	6	-83.4759
0.0633661	4	0	6	-83.4141
0.0651786	4	0	5	-85.8271
0.0653661	7	0	8	-80.8887
0.0654643	4	1	5	-85.8889
0.0659911	1	0	3	-81.3827
0.0671161	1	0	4	-86.0218
0.0683661	4	0	6	-83.4141
0.0701786	4	0	5	-85.8271
0.0703661	7	0	8	-80.8887
0.0709911	1	0	3	-81.3827
0.0721161	1	0	4	-86.0218
0.0729643	1	1	3	-81.4445
0.0733661	4	0	6	-83.4141
0.0751786	4	0	5	-85.8271
0.0753661	7	0	8	-80.8887
0.0754643	7	1	8	-80.9505
0.0759643	1	1	4	-86.0836
0.0759911	1	0	3	-81.3827
0.0771161	1	0	4	-86.0218
0.0783661	4	0	6	-83.4141
0.0801786	4	0	5	-85.8271
0.0803661	7	0	8	-80.8887
0.0809911	1	0	3	-81.3827
0.0821161	1	0	4	-86.0218
0.0832143	4	1	6	-83.4759
0.0833661	4	0	6	-83.4141
0.0851786	4	0	5	-85.8271
0.0853661	7	0	8	-80.8887
0.0854643	4	1	5	-85.8889
0.0859911	1	0	3	-81.3827
0.0871161	1	0	4	-86.0218
0.0883661	4	0	6	-83.4141
0.0901786	4	0	5	-85.8271
0.0903661	7	0	8	-80.8887
0.0909911	1	0	3	-81.3827
0.0921161	1	0	4	-86.0218
0.0929643	1	1	3	-81.4445
0.0933661	4	0	6	-83.4141
0.0951786	4	0	5	-85.8271
0.0953661	7	0	8	-80.8887
0.0954643	7	1	8	-80.9505
0.0959643	1	1	4	-86.0836
0.0959911	1	0	3	-81.3827
0.0971161	1	0	4	-86.0218
0.0983661	4	0	6	-83.4141
