time(s)	cellId	rnti	lcid	packetSize
0.0163002	1	2	4	55
0.0163002	4	2	4	55
0.0163003	7	1	4	55
0.0163004	1	1	4	80
0.0163005	4	1	4	80
0.0164002	1	2	4	55
0.0164002	4	2	4	55
0.0164003	7	1	4	55
0.0164004	1	1	4	80
0.0164005	4	1	4	80
0.0165002	1	2	4	55
0.0165002	4	2	4	55
0.0165003	7	1	4	55
0.0165004	1	1	4	80
0.0165005	4	1	4	80
0.0166002	1	2	4	55
0.0166002	4	2	4	55
0.0166003	7	1	4	55
0.0166004	1	1	4	80
0.0166005	4	1	4	80
0.0167002	1	2	4	55
0.0167002	4	2	4	55
0.0167003	7	1	4	55
0.0167004	1	1	4	80
0.0167005	4	1	4	80
0.0168002	1	2	4	55
0.0168002	4	2	4	55
0.0168003	7	1	4	55
0.0168004	1	1	4	80
0.0168005	4	1	4	80
0.0169002	1	2	4	55
0.0169002	4	2	4	55
0.0169003	7	1	4	55
0.0169004	1	1	4	80
0.0169005	4	1	4	80
0.0170002	1	2	4	55
0.0170002	4	2	4	55
0.0170003	7	1	4	55
0.0170004	1	1	4	80
0.0170005	4	1	4	80
0.0171002	1	2	4	55
0.0171002	4	2	4	55
0.0171003	7	1	4	55
0.0171004	1	1	4	80
0.0171005	4	1	4	80
0.0172002	1	2	4	55
0.0172002	4	2	4	55
0.0172003	7	1	4	55
0.0172004	1	1	4	80
0.0172005	4	1	4	80
0.0173002	1	2	4	55
0.0173002	4	2	4	55
0.0173003	7	1	4	55
0.0173004	1	1	4	80
0.0173005	4	1	4	80
0.0174002	1	2	4	55
0.0174002	4	2	4	55
0.0174003	7	1	4	55
0.0174004	1	1	4	80
0.0174005	4	1	4	80
0.0175002	1	2	4	55
0.0175002	4	2	4	55
0.0175003	7	1	4	55
0.0175004	1	1	4	80
0.0175005	4	1	4	80
0.0176002	1	2	4	55
0.0176002	4	2	4	55
0.0176003	7	1	4	55
0.0176004	1	1	4	80
0.0176005	4	1	4	80
0.0177002	1	2	4	55
0.0177002	4	2	4	55
0.0177003	7	1	4	55
0.0177004	1	1	4	80
0.0177005	4	1	4	80
0.0178002	1	2	4	55
0.0178002	4	2	4	55
0.0178003	7	1	4	55
