time(s)	cellId	rnti	lcid	packetSize
0.0163125	1	2	4	36
0.0163125	4	2	4	36
0.0163125	7	1	4	36
0.016375	1	2	4	22
0.016375	4	2	4	22
0.016375	7	1	4	22
0.0164375	1	2	4	36
0.0164375	4	2	4	36
0.0164375	7	1	4	36
0.0165	1	1	4	164
0.0165	4	1	4	164
0.0165	1	2	4	25
0.0165	4	2	4	25
0.0165	7	1	4	25
0.0165625	1	2	4	36
0.0165625	4	2	4	36
0.0165625	7	1	4	36
0.016625	1	2	4	36
0.016625	7	1	4	36
0.0166875	1	2	4	49
0.0166875	7	1	4	36
0.01675	1	1	4	168
0.01675	4	1	4	168
0.01675	1	2	4	57
0.01675	7	1	4	36
0.0168125	1	2	4	57
0.0168125	7	1	4	36
0.016875	7	1	4	36
0.0169375	1	2	4	57
0.0169375	7	1	4	36
0.017	1	1	4	168
0.017	4	1	4	168
0.017	4	2	4	36
0.017	7	1	4	36
0.0170625	1	2	4	57
0.0170625	4	2	4	275
0.0170625	7	1	4	73
0.017125	1	2	4	57
0.017125	4	2	4	57
0.017125	7	1	4	57
0.01725	1	1	4	168
0.01725	4	1	4	168
0.01725	1	2	4	57
0.01725	4	2	4	57
0.01725	7	1	4	57
0.0173125	1	2	4	57
0.0173125	4	2	4	57
0.0173125	7	1	4	57
0.0174375	1	2	4	57
0.0174375	7	1	4	57
0.0175	1	1	4	168
0.0175	4	1	4	168
0.0175	4	2	4	36
0.0175625	1	2	4	57
0.0175625	7	1	4	57
0.017625	1	2	4	57
0.017625	7	1	4	57
0.0176875	4	2	4	36
0.01775	1	1	4	168
0.01775	4	1	4	168
0.01775	1	2	4	57
0.01775	4	2	4	36
0.01775	7	1	4	57
0.0178125	1	2	4	57
0.0178125	4	2	4	182
0.0178125	7	1	4	57
0.0179375	1	2	4	57
0.018	1	1	4	393
0.018	4	1	4	393
0.018	4	2	4	57
0.018	7	1	4	36
0.0180625	1	2	4	57
0.0180625	4	2	4	57
0.018125	1	2	4	57
0.018125	4	2	4	57
0.01825	1	1	4	245
0.01825	4	1	4	245
0.01825	1	2	4	57
0.01825	4	2	4	57
0.0183125	1	2	4	57
0.0183125	4	2	4	57
0.0183125	7	1	4	249
0.0184375	1	2	4	57
0.0184375	7	1	4	57
0.0185	1	1	4	164
0.0185	4	1	4	164
0.0185625	1	2	4	57
0.0185625	7	1	4	57
0.018625	1	2	4	57
0.018625	7	1	4	57
0.0186875	4	2	4	36
0.01875	1	1	4	245
0.01875	4	1	4	245
0.01875	1	2	4	57
0.01875	4	2	4	36
0.0188125	1	2	4	57
0.0188125	4	2	4	216
0.0188125	7	1	4	36
0.0189375	1	2	4	57
0.019	1	1	4	164
0.019	4	1	4	164
0.019	4	2	4	57
0.019	7	1	4	36
0.0190625	1	2	4	57
0.0190625	4	2	4	57
0.019125	1	2	4	57
0.019125	7	1	4	216
0.0191875	4	2	4	57
0.01925	1	1	4	245
0.01925	4	1	4	245
0.01925	1	2	4	57
0.01925	4	2	4	57
0.0193125	1	2	4	57
0.0193125	4	2	4	57
0.0193125	7	1	4	114
0.0194375	1	2	4	57
0.0194375	4	2	4	36
0.0194375	7	1	4	57
0.0195	1	1	4	164
0.0195	4	1	4	164
0.0195	4	2	4	23
0.0195625	1	2	4	57
0.0195625	7	1	4	57
0.019625	1	2	4	57
0.019625	7	1	4	57
0.01975	1	1	4	245
0.01975	4	1	4	245
0.01975	1	2	4	57
0.01975	4	2	4	170
0.0198125	1	2	4	57
0.0198125	4	2	4	57
0.0198125	7	1	4	36
0.0199375	1	2	4	57
0.02	1	1	4	164
0.02	4	1	4	164
0.02	4	2	4	57
0.02	7	1	4	36
0.0200625	1	2	4	57
0.020125	1	2	4	57
0.020125	7	1	4	216
0.0201875	4	2	4	36
0.02025	1	1	4	245
0.02025	4	1	4	245
0.02025	1	2	4	57
0.02025	4	2	4	36
0.0203125	1	2	4	57
0.0203125	4	2	4	159
0.0203125	7	1	4	114
0.0204375	1	2	4	57
0.0204375	4	2	4	57
0.0205	1	1	4	164
0.0205	4	1	4	164
0.0205	7	1	4	57
0.0205625	1	2	4	57
0.0205625	4	2	4	57
0.0205625	7	1	4	57
0.020625	1	2	4	57
0.020625	7	1	4	57
0.0206875	4	2	4	57
0.02075	4	1	4	245
0.02075	1	2	4	57
0.02075	7	1	4	57
0.0208125	1	2	4	57
0.0208125	4	2	4	36
0.0208125	7	1	4	57
0.0209375	1	2	4	57
0.0209375	4	2	4	36
0.021	4	1	4	164
0.021	4	2	4	103
0.021	7	1	4	36
0.0210625	1	2	4	57
0.0210625	4	2	4	57
0.021125	1	2	4	57
0.021125	4	2	4	57
0.02125	4	1	4	245
0.02125	1	2	4	57
0.02125	4	2	4	57
