Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	rnti	tbSize	mcs	rank	rv	SINR(dB)	CQI	corrupt	TBler
0.0164955	DL	1	6	7	1	12	1	0	2	39	0	1	0	33.1112	15	0	0
0.0164955	DL	1	6	7	1	12	4	0	2	39	0	1	0	-19.4363	0	1	1
0.0164955	DL	1	6	7	1	12	7	0	1	39	0	1	0	-5.10577	0	0	9.23303e-08
0.0165402	DL	1	6	8	1	8	1	0	2	25	0	1	0	33.1112	15	0	0
0.0165402	DL	1	6	8	1	8	4	0	2	25	0	1	0	-19.4363	0	1	1
0.0165402	DL	1	6	8	1	8	7	0	1	25	0	1	0	-5.10577	0	0	8.27758e-05
0.0166205	DL	1	6	9	1	12	1	0	2	39	0	1	0	33.1112	15	0	0
0.0166205	DL	1	6	9	1	12	4	0	2	39	0	1	0	-19.4363	0	1	1
0.0166205	DL	1	6	9	1	12	7	0	1	39	0	1	0	-5.10577	0	0	9.23303e-08
0.0166696	DL	1	6	10	1	9	1	0	2	28	0	1	0	33.1112	15	0	0
0.0166696	DL	1	6	10	1	9	4	0	2	28	0	1	0	-19.4363	0	1	1
0.0166696	DL	1	6	10	1	9	7	0	1	28	0	1	0	-5.10577	0	0	8.27758e-05
0.0167455	DL	1	6	11	1	12	1	0	2	39	0	1	0	33.1112	15	0	0
0.0167455	DL	1	6	11	1	12	4	0	2	39	0	1	0	-19.4363	0	1	1
0.0167455	DL	1	6	11	1	12	7	0	1	39	0	1	0	-5.10577	0	0	9.23303e-08
0.016808	DL	1	6	12	1	12	1	0	2	39	0	1	0	33.1112	15	0	0
0.016808	DL	1	6	12	1	12	4	0	2	39	0	1	1	-19.4363	0	1	1
0.016808	DL	1	6	12	1	12	7	0	1	39	0	1	0	-5.10577	0	0	9.23303e-08
0.0168214	DL	1	6	13	1	1	1	0	2	118	28	1	0	33.7083	15	0	5.701e-14
0.0168705	DL	1	6	13	1	12	4	0	2	25	0	1	1	21.9206	15	0	0
0.0168705	DL	1	6	13	1	12	7	0	1	39	0	1	0	33.9551	10	0	0
0.0168839	DL	1	6	14	1	1	1	0	2	118	28	1	0	33.1112	15	0	5.701e-14
0.016933	DL	1	6	14	1	12	4	0	2	39	0	1	1	21.1484	15	0	0
0.016933	DL	1	6	14	1	12	7	0	1	39	0	1	0	9.46877	9	0	0
0.0169464	DL	1	6	15	1	1	1	0	2	118	28	1	0	33.5693	15	0	5.701e-14
0.0169955	DL	1	6	15	1	12	4	0	2	28	0	1	1	21.5162	15	0	0
0.0169955	DL	1	6	15	1	12	7	0	1	39	0	1	0	33.0183	10	0	0
0.017058	DL	1	7	0	1	12	4	0	2	39	0	1	1	21.5261	15	0	0
0.017058	DL	1	7	0	1	12	7	0	1	39	0	1	0	9.83385	9	0	0
0.0170714	DL	1	7	1	1	1	1	0	2	118	28	1	0	33.1112	15	0	5.701e-14
0.0171205	DL	1	7	1	1	12	4	0	2	39	0	1	2	20.885	15	0	0
0.0171205	DL	1	7	1	1	12	7	0	1	39	0	1	0	9.46872	9	0	0
0.017183	DL	1	7	2	1	12	4	0	2	39	0	1	0	21.5261	15	0	0
0.017183	DL	1	7	2	1	12	7	0	1	39	0	1	0	9.83385	9	0	0
0.0171964	DL	1	7	3	1	1	1	0	2	118	28	1	0	33.1112	15	0	5.701e-14
0.0172009	DL	1	7	3	1	2	7	0	1	115	18	1	0	6.96154	7	1	1
0.0172054	DL	1	7	3	1	3	4	0	2	361	28	1	0	29.1493	15	0	5.701e-14
0.0172321	DL	1	7	0	1	12	1	1	1	171	0	1	0	5.96355	7	0	0
0.0172321	DL	1	7	0	1	12	4	1	1	171	0	1	0	31.0066	15	0	0
0.0172589	DL	1	7	4	1	1	1	0	2	118	28	1	0	33.1112	15	0	5.701e-14
0.0172589	DL	1	7	4	1	1	4	0	2	118	28	1	0	-19.4363	0	1	1
0.0172634	DL	1	7	4	1	2	7	0	1	102	16	1	0	36.1709	15	0	0
0.0173839	DL	1	7	6	1	1	1	0	2	118	28	1	0	33.1112	15	0	5.701e-14
0.0173839	DL	1	7	6	1	1	4	0	2	118	28	1	0	-19.4363	0	1	1
0.0173884	DL	1	7	6	1	2	7	0	1	102	16	1	0	36.1709	15	0	0
0.0174464	DL	1	7	7	1	1	1	0	2	118	28	1	0	33.1112	15	0	5.701e-14
0.0174464	DL	1	7	7	1	1	4	0	2	118	28	1	0	-19.4363	0	1	1
