Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	Harq ID	K1 Delay
0.016442	DL DCI Rxed	1	6	7	1	2	0	15	2
0.016442	DL DCI Rxed	1	6	7	4	2	0	15	2
0.016442	DL DCI Rxed	1	6	7	7	1	0	15	2
0.0165045	DL DCI Rxed	1	6	8	1	2	0	14	2
0.0165045	DL DCI Rxed	1	6	8	4	2	0	14	2
0.0165045	DL DCI Rxed	1	6	8	7	1	0	14	2
0.016567	DL DCI Rxed	1	6	9	1	2	0	13	2
0.016567	DL DCI Rxed	1	6	9	4	2	0	13	2
0.016567	DL DCI Rxed	1	6	9	7	1	0	13	2
0.0166205	HARQ FD Txed	1	6	9	1	2	0	15	2
0.0166205	HARQ FD Txed	1	6	9	4	2	0	15	2
0.0166205	HARQ FD Txed	1	6	9	7	1	0	15	2
0.0166295	DL DCI Rxed	1	6	10	1	2	0	12	2
0.0166295	DL DCI Rxed	1	6	10	4	2	0	12	2
0.0166295	DL DCI Rxed	1	6	10	7	1	0	12	2
0.016683	HARQ FD Txed	1	6	10	1	2	0	14	2
0.016683	HARQ FD Txed	1	6	10	4	2	0	14	2
0.016683	HARQ FD Txed	1	6	10	7	1	0	14	2
0.016692	DL DCI Rxed	1	6	11	1	2	0	11	2
0.016692	DL DCI Rxed	1	6	11	4	2	0	11	2
0.016692	DL DCI Rxed	1	6	11	7	1	0	11	2
0.0167455	HARQ FD Txed	1	6	11	1	2	0	13	2
0.0167455	HARQ FD Txed	1	6	11	4	2	0	13	2
0.0167455	HARQ FD Txed	1	6	11	7	1	0	13	2
0.0167545	DL DCI Rxed	1	6	12	1	2	0	15	2
0.0167545	DL DCI Rxed	1	6	12	4	2	0	15	2
0.0167545	DL DCI Rxed	1	6	12	7	1	0	15	2
0.016808	HARQ FD Txed	1	6	12	1	2	0	12	2
0.016808	HARQ FD Txed	1	6	12	4	2	0	12	2
0.016808	HARQ FD Txed	1	6	12	7	1	0	12	2
0.016817	DL DCI Rxed	1	6	13	1	2	0	14	2
0.016817	DL DCI Rxed	1	6	13	4	2	0	14	2
