Time	CellId	RNTI	BWPId	SINR(dB)
4.463e-06	1	0	0	35.4734
4.463e-06	1	0	0	14.0901
4.463e-06	4	0	0	-25.485
4.463e-06	4	0	0	-29.5957
4.463e-06	7	0	0	-12.2339
0.00500446	1	0	0	34.9942
0.00500446	1	0	0	14.1559
0.00500446	4	0	0	-25.5259
0.00500446	4	0	0	-25.6123
0.00500446	7	0	0	-12.4419
0.0100045	1	0	0	34.9942
0.0100045	1	0	0	14.1559
0.0100045	4	0	0	-25.5259
0.0100045	4	0	0	-25.6123
0.0100045	7	0	0	-12.4419
0.0150045	1	0	0	34.9942
0.0150045	1	0	0	14.1559
0.0150045	4	0	0	-25.5259
0.0150045	4	0	0	-25.6123
0.0150045	7	0	0	-12.4419
0.0162545	1	0	0	34.9942
0.0162545	1	0	0	14.1559
0.0162545	4	0	0	-25.5259
0.0162545	4	0	0	-25.6123
0.0162545	7	0	0	-12.4419
0.016942	1	1	0	53.2489
0.016942	1	2	0	38.9401
0.018192	4	1	0	12.5605
0.018192	4	2	0	17.2676
0.0200045	1	1	0	34.9942
0.0200045	1	2	0	14.1559
0.0200045	4	1	0	-25.5259
0.0200045	4	2	0	-25.6123
0.0200045	7	1	0	-12.4419
0.020192	7	1	0	20.4548
0.020817	1	1	0	53.2489
0.020817	1	2	0	38.9401
0.021942	1	1	0	53.2489
0.021942	1	2	0	38.9401
0.0225179	4	1	1	39.0406
0.0225179	4	2	1	46.2503
0.023192	4	1	0	12.5605
0.023192	4	2	0	17.2676
0.0247679	4	1	1	39.0406
0.0247679	4	2	1	46.2503
0.0250045	1	1	0	34.9942
0.0250045	1	2	0	14.1559
0.0250045	4	1	0	-25.5259
0.0250045	4	2	0	-25.6123
0.0250045	7	1	0	-12.4419
0.025192	7	1	0	20.4548
0.025817	1	1	0	53.2489
0.025817	1	2	0	38.9401
0.026942	1	1	0	53.2489
0.026942	1	2	0	38.9401
0.028192	4	1	0	12.5605
0.028192	4	2	0	17.2676
0.0300045	1	1	0	34.9942
0.0300045	1	2	0	14.1559
0.0300045	4	1	0	-25.5259
0.0300045	4	2	0	-25.6123
0.0300045	7	1	0	-12.4419
0.030192	7	1	0	20.4548
0.030817	1	1	0	53.2489
0.030817	1	2	0	38.9401
0.031942	1	1	0	53.2489
0.031942	1	2	0	38.9401
0.0322679	1	1	1	52.5457
0.0322679	1	2	1	39.5555
0.033192	4	1	0	12.5605
0.033192	4	2	0	17.2676
0.0347679	7	1	1	50.0854
0.0350045	1	1	0	34.9942
0.0350045	1	2	0	14.1559
0.0350045	4	1	0	-25.5259
0.0350045	4	2	0	-25.6123
0.0350045	7	1	0	-12.4419
0.035192	7	1	0	20.4548
0.0352679	1	1	1	52.5457
0.0352679	1	2	1	39.5555
0.035817	1	1	0	53.2489
0.035817	1	2	0	38.9401
0.036942	1	1	0	53.2489
0.036942	1	2	0	38.9401
0.038192	4	1	0	12.5605
0.038192	4	2	0	17.2676
0.0400045	1	1	0	34.9942
0.0400045	1	2	0	14.1559
0.0400045	4	1	0	-25.5259
0.0400045	4	2	0	-25.6123
0.0400045	7	1	0	-12.4419
0.040192	7	1	0	20.4548
0.040817	1	1	0	53.2489
0.040817	1	2	0	38.9401
0.041942	1	1	0	53.2489
0.041942	1	2	0	38.9401
0.0425179	4	1	1	39.0406
0.0425179	4	2	1	46.2503
0.043192	4	1	0	12.5605
0.043192	4	2	0	17.2676
0.0447679	4	1	1	39.0406
0.0447679	4	2	1	46.2503
0.0450045	1	1	0	34.9942
0.0450045	1	2	0	14.1559
0.0450045	4	1	0	-25.5259
0.0450045	4	2	0	-25.6123
0.0450045	7	1	0	-12.4419
0.045192	7	1	0	20.4548
0.045817	1	1	0	53.2489
0.045817	1	2	0	38.9401
0.046942	1	1	0	53.2489
0.046942	1	2	0	38.9401
0.048192	4	1	0	12.5605
0.048192	4	2	0	17.2676
0.0500045	1	1	0	34.9942
0.0500045	1	2	0	14.1559
0.0500045	4	1	0	-25.5259
0.0500045	4	2	0	-25.6123
0.0500045	7	1	0	-12.4419
0.050192	7	1	0	20.4548
0.050817	1	1	0	53.2489
0.050817	1	2	0	38.9401
0.051942	1	1	0	53.2489
0.051942	1	2	0	38.9401
0.0522679	1	1	1	52.5457
0.0522679	1	2	1	39.5555
0.053192	4	1	0	12.5605
0.053192	4	2	0	17.2676
0.0547679	7	1	1	50.0854
0.0550045	1	1	0	34.9942
0.0550045	1	2	0	14.1559
0.0550045	4	1	0	-25.5259
0.0550045	4	2	0	-25.6123
0.0550045	7	1	0	-12.4419
0.055192	7	1	0	20.4548
0.0552679	1	1	1	52.5457
0.0552679	1	2	1	39.5555
0.055817	1	1	0	53.2489
0.055817	1	2	0	38.9401
0.056942	1	1	0	53.2489
0.056942	1	2	0	38.9401
0.058192	4	1	0	12.5605
0.058192	4	2	0	17.2676
0.0600045	1	1	0	34.9942
0.0600045	1	2	0	14.1559
0.0600045	4	1	0	-25.5259
0.0600045	4	2	0	-25.6123
0.0600045	7	1	0	-12.4419
0.060192	7	1	0	20.4548
0.060817	1	1	0	53.2489
0.060817	1	2	0	38.9401
0.061942	1	1	0	53.2489
0.061942	1	2	0	38.9401
0.0625179	4	1	1	39.0406
0.0625179	4	2	1	46.2503
0.063192	4	1	0	12.5605
0.063192	4	2	0	17.2676
0.0647679	4	1	1	39.0406
0.0647679	4	2	1	46.2503
0.0650045	1	1	0	34.9942
0.0650045	1	2	0	14.1559
0.0650045	4	1	0	-25.5259
0.0650045	4	2	0	-25.6123
0.0650045	7	1	0	-12.4419
0.065192	7	1	0	20.4548
0.065817	1	1	0	53.2489
0.065817	1	2	0	38.9401
0.066942	1	1	0	53.2489
0.066942	1	2	0	38.9401
0.068192	4	1	0	12.5605
0.068192	4	2	0	17.2676
0.0700045	1	1	0	34.9942
0.0700045	1	2	0	14.1559
0.0700045	4	1	0	-25.5259
0.0700045	4	2	0	-25.6123
0.0700045	7	1	0	-12.4419
0.070192	7	1	0	20.4548
0.070817	1	1	0	53.2489
0.070817	1	2	0	38.9401
0.071942	1	1	0	53.2489
0.071942	1	2	0	38.9401
0.0722679	1	1	1	52.5457
0.0722679	1	2	1	39.5555
0.073192	4	1	0	12.5605
0.073192	4	2	0	17.2676
0.0747679	7	1	1	50.0854
0.0750045	1	1	0	34.9942
0.0750045	1	2	0	14.1559
0.0750045	4	1	0	-25.5259
0.0750045	4	2	0	-25.6123
0.0750045	7	1	0	-12.4419
0.075192	7	1	0	20.4548
0.0752679	1	1	1	52.5457
0.0752679	1	2	1	39.5555
0.075817	1	1	0	53.2489
0.075817	1	2	0	38.9401
0.076942	1	1	0	53.2489
0.076942	1	2	0	38.9401
0.078192	4	1	0	12.5605
0.078192	4	2	0	17.2676
0.0800045	1	1	0	34.9942
0.0800045	1	2	0	14.1559
0.0800045	4	1	0	-25.5259
0.0800045	4	2	0	-25.6123
0.0800045	7	1	0	-12.4419
0.080192	7	1	0	20.4548
0.080817	1	1	0	53.2489
0.080817	1	2	0	38.9401
0.081942	1	1	0	53.2489
0.081942	1	2	0	38.9401
0.0825179	4	1	1	39.0406
0.0825179	4	2	1	46.2503
0.083192	4	1	0	12.5605
0.083192	4	2	0	17.2676
0.0847679	4	1	1	39.0406
0.0847679	4	2	1	46.2503
0.0850045	1	1	0	34.9942
0.0850045	1	2	0	14.1559
0.0850045	4	1	0	-25.5259
0.0850045	4	2	0	-25.6123
0.0850045	7	1	0	-12.4419
0.085192	7	1	0	20.4548
0.085817	1	1	0	53.2489
0.085817	1	2	0	38.9401
0.086942	1	1	0	53.2489
0.086942	1	2	0	38.9401
0.088192	4	1	0	12.5605
0.088192	4	2	0	17.2676
0.0900045	1	1	0	34.9942
0.0900045	1	2	0	14.1559
0.0900045	4	1	0	-25.5259
0.0900045	4	2	0	-25.6123
0.0900045	7	1	0	-12.4419
0.090192	7	1	0	20.4548
0.090817	1	1	0	53.2489
0.090817	1	2	0	38.9401
0.091942	1	1	0	53.2489
0.091942	1	2	0	38.9401
0.0922679	1	1	1	52.5457
0.0922679	1	2	1	39.5555
0.093192	4	1	0	12.5605
0.093192	4	2	0	17.2676
0.0947679	7	1	1	50.0854
0.0950045	1	1	0	34.9942
0.0950045	1	2	0	14.1559
0.0950045	4	1	0	-25.5259
0.0950045	4	2	0	-25.6123
0.0950045	7	1	0	-12.4419
0.095192	7	1	0	20.4548
0.0952679	1	1	1	52.5457
0.0952679	1	2	1	39.5555
0.095817	1	1	0	53.2489
0.095817	1	2	0	38.9401
0.096942	1	1	0	53.2489
0.096942	1	2	0	38.9401
0.098192	4	1	0	12.5605
0.098192	4	2	0	17.2676
