Time	CellId	RNTI	BWPId	SINR(dB)
0.0164955	1	2	0	33.1112
0.0164955	4	2	0	-19.4363
0.0164955	7	1	0	-5.10577
0.0165402	1	2	0	33.1112
0.0165402	4	2	0	-19.4363
0.0165402	7	1	0	-5.10577
0.0166205	1	2	0	33.1112
0.0166205	4	2	0	-19.4363
0.0166205	7	1	0	-5.10577
0.0166696	1	2	0	33.1112
0.0166696	4	2	0	-19.4363
0.0166696	7	1	0	-5.10577
0.0167455	1	2	0	33.1112
0.0167455	4	2	0	-19.4363
0.0167455	7	1	0	-5.10577
0.016808	1	2	0	33.1112
0.016808	4	2	0	-19.4363
0.016808	7	1	0	-5.10577
0.0168214	1	2	0	33.7083
0.0168705	4	2	0	20.2934
0.0168705	7	1	0	33.9551
0.0168839	1	2	0	33.1112
0.016933	4	2	0	21.1484
0.016933	7	1	0	9.46877
0.0169464	1	2	0	33.5693
0.0169955	4	2	0	20.2669
0.0169955	7	1	0	33.0183
0.017058	4	2	0	21.5261
0.017058	7	1	0	9.83385
0.0170714	1	2	0	33.1112
0.0171205	4	2	0	20.885
0.0171205	7	1	0	9.46872
0.017183	4	2	0	21.5261
0.017183	7	1	0	9.83385
0.0171964	1	2	0	33.1112
0.0172009	7	1	0	6.96154
0.0172054	4	2	0	29.1493
0.0172321	1	1	1	5.96355
0.0172321	4	1	1	31.0066
0.0172589	1	2	0	33.1112
0.0172589	4	2	0	-19.4363
0.0172634	7	1	0	36.1709
0.0173839	1	2	0	33.1112
0.0173839	4	2	0	-19.4363
0.0173884	7	1	0	36.1709
0.0174464	1	2	0	33.1112
0.0174464	4	2	0	-19.4363
0.0174509	7	1	0	36.1709
0.0174821	1	1	1	5.96355
0.0174821	4	1	1	31.0066
0.017558	7	1	0	39.0272
0.0175714	1	2	0	35.102
0.0175759	7	1	0	35.6114
0.0176205	4	2	0	32.0571
0.017683	4	2	0	33.6621
0.0176964	1	2	0	35.102
0.0176964	7	1	0	-5.11815
0.0177321	1	1	1	5.96355
0.0177321	4	1	1	31.0066
0.0177455	4	2	0	32.4478
0.0177589	1	2	0	35.102
0.0177589	7	1	0	-5.11815
0.017808	4	2	0	32.4478
0.0178705	4	2	0	33.6621
0.0178839	1	2	0	33.1112
0.0178839	7	1	0	-5.10577
0.017933	4	2	0	33.2843
0.0179464	1	2	0	33.1112
0.0179464	7	1	0	-5.10577
0.0179509	4	2	0	30.6527
0.0179821	1	1	1	5.96355
0.0179821	4	1	1	31.0066
0.018058	4	2	0	11.3051
0.018058	7	1	0	-1.89187
0.0180714	1	2	0	61.0085
0.0181205	4	2	0	10.9276
0.0181205	7	1	0	-2.14227
0.0181339	4	2	0	21.5261
0.018183	7	1	0	38.8028
0.0181964	1	2	0	36.4221
0.0181964	4	2	0	-19.4362
0.0182321	1	1	1	5.96355
0.0182321	4	1	1	31.0066
0.0182455	7	1	0	38.6569
0.0182589	1	2	0	36.4221
0.0182589	4	2	0	-19.4362
0.018308	7	1	0	38.6569
0.0183705	7	1	0	39.0224
0.0183839	1	2	0	36.4221
0.0183839	4	2	0	-19.4362
0.018433	7	1	0	38.6569
0.0184464	1	2	0	33.1112
0.0184464	4	2	0	-19.4363
0.0184777	7	1	0	38.6004
0.0184821	1	1	1	5.96355
