time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.0167205	1	2	4	55	0.000420375
0.0167205	7	1	4	55	0.000420223
0.0168455	1	2	4	55	0.000445375
0.0168455	7	1	4	55	0.000445223
0.016908	1	2	4	55	0.000407875
0.016908	7	1	4	55	0.000407723
0.0169214	1	2	4	55	0.000321271
0.0169839	1	2	4	55	0.000283771
0.017033	7	1	4	55	0.000432723
0.0170464	1	2	4	55	0.000246271
0.017158	7	1	4	55	0.000457723
0.0171714	1	2	4	55	0.000271271
0.0172205	4	2	4	55	0.000920299
0.0172205	4	2	4	55	0.000820299
0.0172205	7	1	4	55	0.000420223
0.017283	4	2	4	55	0.000782799
0.0172964	1	2	4	55	0.000296271
0.0173054	4	2	4	55	0.000705123
0.0173054	4	2	4	55	0.000605123
0.0173054	4	2	4	55	0.000505123
0.0173054	4	2	4	55	0.000405123
0.0173054	4	2	4	55	0.000305123
0.0173321	1	1	4	80	0.00103172
0.0173321	1	1	4	80	0.000931716
0.0173321	4	1	4	80	0.00103162
0.0173321	4	1	4	80	0.00093162
0.0173589	1	2	4	55	0.000258771
0.0174839	1	2	4	55	0.000283771
0.0175464	1	2	4	55	0.000246271
0.0175821	1	1	4	80	0.00108172
0.0175821	1	1	4	80	0.000981716
0.0175821	4	1	4	80	0.00108162
0.0175821	4	1	4	80	0.00098162
0.017658	7	1	4	55	0.000757723
0.017658	7	1	4	55	0.000657723
0.017658	7	1	4	55	0.000557723
0.017658	7	1	4	55	0.000457723
0.017658	7	1	4	55	0.000357723
0.0176714	1	2	4	55	0.000271271
0.0176759	7	1	4	55	0.000275583
0.0177205	4	2	4	55	0.000620299
0.0177964	1	2	4	55	0.000296271
0.0178321	1	1	4	80	0.00113172
0.0178321	1	1	4	80	0.00103172
0.0178321	4	1	4	80	0.00113162
0.0178321	4	1	4	80	0.00103162
0.0178589	1	2	4	55	0.000258771
0.0179839	1	2	4	55	0.000283771
0.0180464	1	2	4	55	0.000246271
0.0180821	1	1	4	80	0.00118172
0.0180821	1	1	4	80	0.00108172
0.0180821	4	1	4	80	0.00118162
0.0180821	4	1	4	80	0.00108162
0.018158	4	2	4	55	0.000957799
0.0181714	1	2	4	55	0.000271271
0.0182205	4	2	4	55	0.000920299
0.0182205	4	2	4	55	0.000820299
0.0182205	4	2	4	55	0.000720299
0.0182205	4	2	4	55	0.000620299
0.0182205	4	2	4	55	0.000520299
0.0182205	4	2	4	55	0.000420299
0.0182339	4	2	4	55	0.000333695
0.0182964	1	2	4	55	0.000296271
0.0183321	1	1	4	80	0.00123172
0.0183321	1	1	4	80	0.00113172
0.0183321	4	1	4	80	0.00123162
0.0183321	4	1	4	80	0.00113162
0.0183589	1	2	4	55	0.000258771
0.0184705	7	1	4	55	0.000970223
0.0184839	1	2	4	55	0.000283771
0.018533	7	1	4	55	0.000932723
0.018533	7	1	4	55	0.000832723
0.018533	7	1	4	55	0.000732723
0.0185464	1	2	4	55	0.000246271
0.0185777	7	1	4	55	0.000677367
0.0185777	7	1	4	55	0.000577367
0.0185777	7	1	4	55	0.000477367
0.0185777	7	1	4	55	0.000377367
0.0185777	7	1	4	55	0.000277367
0.0185821	1	1	4	80	0.00128172
0.0185821	1	1	4	80	0.00118172
0.0185821	4	1	4	80	0.00128162
0.0185821	4	1	4	80	0.00118162
0.0186357	4	1	4	80	0.00113519
0.0186357	4	1	4	80	0.00103519
0.0186357	4	1	4	80	0.000935193
0.0186357	4	1	4	80	0.000835193
0.0186357	4	1	4	80	0.000735193
0.0186714	1	1	4	80	0.001171
0.0186714	1	1	4	80	0.001071
0.0186714	1	1	4	80	0.000971003
0.0186714	1	1	4	80	0.000871003
0.0186714	1	1	4	80	0.000771003
0.0186714	1	2	4	55	0.000271271
0.0187205	4	2	4	55	0.000720299
0.018783	4	2	4	55	0.000682799
0.0187964	1	2	4	55	0.000296271
0.0188455	4	2	4	55	0.000645299
0.0188589	1	2	4	55	0.000258771
0.0188857	4	1	4	80	0.000885193
0.0188857	4	1	4	80	0.000785193
0.0188857	4	1	4	80	0.000685193
0.0189036	1	1	4	80	0.000903146
0.0189036	1	1	4	80	0.000803146
0.0189036	1	1	4	80	0.000703146
0.0189839	1	2	4	55	0.000283771
0.0190464	1	2	4	55	0.000246271
0.0191357	4	1	4	80	0.000835193
0.0191357	4	1	4	80	0.000735193
0.0191536	1	1	4	80	0.000853146
0.0191536	1	1	4	80	0.000753146
0.0191714	1	2	4	55	0.000271271
0.0192205	4	2	4	55	0.000920299
0.0192205	4	2	4	55	0.000820299
0.0192964	1	2	4	55	0.000296271
0.0193455	7	1	4	55	0.000945223
0.0193455	7	1	4	55	0.000845223
0.0193589	1	2	4	55	0.000258771
0.0193857	4	1	4	80	0.000885193
0.0193857	4	1	4	80	0.000785193
0.0193857	4	1	4	80	0.000685193
0.0194036	1	1	4	80	0.000903146
0.0194036	1	1	4	80	0.000803146
0.0194036	1	1	4	80	0.000703146
0.019408	4	2	4	55	0.000907799
0.019408	4	2	4	55	0.000807799
0.019408	4	2	4	55	0.000707799
0.019408	4	2	4	55	0.000607799
0.019408	4	2	4	55	0.000507799
0.0194839	1	2	4	55	0.000283771
0.019533	7	1	4	55	0.000932723
0.019533	7	1	4	55	0.000832723
0.019533	7	1	4	55	0.000732723
0.019533	7	1	4	55	0.000632723
0.019533	7	1	4	55	0.000532723
0.019533	7	1	4	55	0.000432723
0.0195464	1	2	4	55	0.000246271
0.0195598	7	1	4	55	0.000359511
0.0195598	7	1	4	55	0.000259511
0.0196357	4	1	4	80	0.000835193
0.0196357	4	1	4	80	0.000735193
0.0196536	1	1	4	80	0.000853146
0.0196536	1	1	4	80	0.000753146
0.0196714	1	2	4	55	0.000271271
0.0197964	1	2	4	55	0.000296271
0.0198589	1	2	4	55	0.000258771
0.0198857	4	1	4	80	0.000885193
0.0198857	4	1	4	80	0.000785193
0.0198857	4	1	4	80	0.000685193
0.0199036	1	1	4	80	0.000903146
0.0199036	1	1	4	80	0.000803146
0.0199036	1	1	4	80	0.000703146
0.0199705	4	2	4	55	0.000970299
0.0199705	4	2	4	55	0.000870299
0.0199705	4	2	4	55	0.000770299
0.0199839	1	2	4	55	0.000283771
0.0200464	1	2	4	55	0.000246271
0.0201357	4	1	4	80	0.000835193
0.0201357	4	1	4	80	0.000735193
0.0201714	1	2	4	55	0.000271271
0.0202205	4	2	4	55	0.000920299
0.0202205	4	2	4	55	0.000820299
0.0202964	1	2	4	55	0.000296271
0.0203455	4	2	4	55	0.000845299
0.0203455	4	2	4	55	0.000745299
0.0203455	4	2	4	55	0.000645299
0.0203455	7	1	4	55	0.000945223
0.0203455	7	1	4	55	0.000845223
0.0203589	1	2	4	55	0.000258771
0.0203857	4	1	4	80	0.000885193
0.0203857	4	1	4	80	0.000785193
0.0203857	4	1	4	80	0.000685193
0.020408	4	2	4	55	0.000607799
0.020408	4	2	4	55	0.000507799
0.0204839	1	2	4	55	0.000283771
0.020533	4	2	4	55	0.000532799
0.020533	7	1	4	55	0.000932723
0.020533	7	1	4	55	0.000832723
0.0205464	1	2	4	55	0.000246271
0.0206357	4	1	4	80	0.000835193
0.0206357	4	1	4	80	0.000735193
0.0206714	1	2	4	55	0.000271271
0.0207205	7	1	4	55	0.000920223
0.0207205	7	1	4	55	0.000820223
0.0207205	7	1	4	55	0.000720223
0.0207205	7	1	4	55	0.000620223
0.0207205	7	1	4	55	0.000520223
0.0207205	7	1	4	55	0.000420223
0.0207339	7	1	4	55	0.000333619
0.0207964	1	2	4	55	0.000296271
0.0208589	1	2	4	55	0.000258771
0.0208857	4	1	4	80	0.000885193
0.0208857	4	1	4	80	0.000785193
0.0208857	4	1	4	80	0.000685193
0.020908	4	2	4	55	0.000807799
0.020908	4	2	4	55	0.000707799
0.020908	4	2	4	55	0.000607799
0.0209839	1	2	4	55	0.000283771
0.021033	4	2	4	55	0.000632799
0.0210464	1	2	4	55	0.000246271
0.0211357	4	1	4	80	0.000835193
0.0211357	4	1	4	80	0.000735193
0.0211714	1	2	4	55	0.000271271
0.0212964	1	2	4	55	0.000296271
0.0213589	1	2	4	55	0.000258771
0.0213857	4	1	4	80	0.000885193
0.0213857	4	1	4	80	0.000785193
0.0213857	4	1	4	80	0.000685193
0.0214705	4	2	4	55	0.000970299
0.0214705	4	2	4	55	0.000870299
0.0214705	4	2	4	55	0.000770299
0.0214705	4	2	4	55	0.000670299
0.0214705	4	2	4	55	0.000570299
0.0214705	7	1	4	55	0.000970223
0.0214705	7	1	4	55	0.000870223
0.0214839	1	2	4	55	0.000283771
0.0215464	1	2	4	55	0.000246271
0.0215821	1	1	4	80	0.00228172
0.0215821	1	1	4	80	0.00218172
0.0216357	4	1	4	80	0.000835193
0.0216357	4	1	4	80	0.000735193
0.021658	7	1	4	55	0.000957723
0.0216714	1	2	4	55	0.000271271
0.0217205	7	1	4	55	0.000920223
0.0217205	7	1	4	55	0.000820223
0.0217205	7	1	4	55	0.000720223
0.0217205	7	1	4	55	0.000620223
0.0217205	7	1	4	55	0.000520223
0.0217964	1	2	4	55	0.000296271
0.0218321	1	1	4	80	0.00233172
0.0218321	1	1	4	80	0.00223172
0.0218321	1	1	4	80	0.00213172
0.0218589	1	2	4	55	0.000258771
0.0218857	4	1	4	80	0.000885193
0.0218857	4	1	4	80	0.000785193
0.0218857	4	1	4	80	0.000685193
0.0219705	4	2	4	55	0.000970299
0.0219839	1	2	4	55	0.000283771
0.022033	4	2	4	55	0.000932799
0.022033	4	2	4	55	0.000832799
0.022033	4	2	4	55	0.000732799
0.0220464	1	2	4	55	0.000246271
0.0220821	1	1	4	80	0.00228172
0.0220821	1	1	4	80	0.00218172
0.0221357	4	1	4	80	0.000835193
0.0221357	4	1	4	80	0.000735193
0.0221714	1	2	4	55	0.000271271
0.0222205	7	1	4	55	0.000920223
0.0222205	7	1	4	55	0.000820223
0.0222205	7	1	4	55	0.000720223
0.0222205	7	1	4	55	0.000620223
0.0222205	7	1	4	55	0.000520223
0.0222205	7	1	4	55	0.000420223
0.0222384	7	1	4	55	0.000338083
0.0222964	1	2	4	55	0.000296271
0.0223321	1	1	4	80	0.00233172
0.0223321	1	1	4	80	0.00223172
0.0223321	1	1	4	80	0.00213172
0.0223589	1	2	4	55	0.000258771
0.0223857	4	1	4	80	0.000885193
0.0223857	4	1	4	80	0.000785193
0.0223857	4	1	4	80	0.000685193
0.022408	4	2	4	55	0.0010078
0.022408	4	2	4	55	0.000907799
0.022408	4	2	4	55	0.000807799
0.022408	4	2	4	55	0.000707799
0.022408	4	2	4	55	0.000607799
0.0224839	1	2	4	55	0.000283771
0.022533	4	2	4	55	0.000632799
0.0225464	1	2	4	55	0.000246271
0.0225821	1	1	4	80	0.00228172
0.0225821	1	1	4	80	0.00218172
0.0226357	4	1	4	80	0.000835193
0.0226357	4	1	4	80	0.000735193
0.0226714	1	2	4	55	0.000271271
0.0227964	1	1	4	80	0.002296
0.0227964	1	1	4	80	0.002196
0.0227964	1	1	4	80	0.002096
0.0227964	1	1	4	80	0.001996
0.0227964	1	1	4	80	0.001896
0.0227964	1	1	4	80	0.001796
0.0227964	1	1	4	80	0.001696
