time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.0165955	1	2	4	36	0.000283031
0.0165955	7	1	4	36	0.000283031
0.0166402	1	2	4	22	0.000265175
0.0166402	7	1	4	22	0.000265175
0.0167205	1	2	4	36	0.000283031
0.0167205	7	1	4	36	0.000283031
0.0167696	1	2	4	25	0.000269639
0.0167696	7	1	4	25	0.000269639
0.0168455	1	2	4	36	0.000283031
0.0168455	7	1	4	36	0.000283031
0.016908	1	2	4	36	0.000283031
0.016908	7	1	4	36	0.000283031
0.0169214	1	2	4	49	0.000233927
0.0169705	4	2	4	22	0.000595531
0.0169705	7	1	4	36	0.000283031
0.0169839	1	2	4	57	0.000233927
0.017033	4	2	4	36	0.000595531
0.017033	7	1	4	36	0.000283031
0.0170464	1	2	4	57	0.000233927
0.0170955	4	2	4	25	0.000595531
0.0170955	7	1	4	36	0.000283031
0.017158	4	2	4	36	0.000595531
0.017158	7	1	4	36	0.000283031
0.0171714	1	2	4	57	0.000233927
0.0172205	4	2	4	36	0.000908031
0.0172205	7	1	4	36	0.000283031
0.017283	4	2	4	36	0.000283031
0.017283	7	1	4	36	0.000283031
0.0172964	1	2	4	57	0.000233927
0.0173054	4	2	4	275	0.000242855
0.0173321	1	1	4	164	0.00083214
0.0173321	4	1	4	164	0.00083214
0.0173589	1	2	4	57	0.000233927
0.0173634	7	1	4	57	0.000238391
0.0174839	1	2	4	57	0.000233927
0.0174884	7	1	4	57	0.000238391
0.0175464	1	2	4	57	0.000233927
0.0175509	7	1	4	57	0.000238391
0.0175821	1	1	4	168	0.00083214
0.0175821	4	1	4	168	0.00083214
0.017658	7	1	4	73	0.000595531
0.0176714	1	2	4	57	0.000233927
0.0176759	7	1	4	57	0.000238391
0.0177205	4	2	4	57	0.000595531
0.017783	4	2	4	36	0.000283031
0.0177964	1	2	4	57	0.000233927
0.0178321	1	1	4	168	0.00083214
0.0178321	4	1	4	168	0.00083214
0.0178589	1	2	4	57	0.000233927
0.0179705	4	2	4	36	0.000283031
0.0179839	1	2	4	57	0.000233927
0.018033	4	2	4	36	0.000283031
0.0180464	1	2	4	57	0.000233927
0.0180509	4	2	4	182	0.000238391
0.0180821	1	1	4	168	0.00083214
0.0180821	4	1	4	168	0.00083214
0.018158	4	2	4	57	0.000908031
0.0181714	1	2	4	57	0.000233927
0.0182205	4	2	4	57	0.000908031
0.0182339	4	2	4	57	0.000233927
0.018283	7	1	4	36	0.000283031
0.0182964	1	2	4	57	0.000233927
0.0183321	1	1	4	168	0.00083214
0.0183321	4	1	4	168	0.00083214
0.0183455	7	1	4	57	0.000595531
0.0183589	1	2	4	57	0.000233927
0.018408	7	1	4	57	0.000595531
0.0184705	7	1	4	57	0.000908031
0.0184839	1	2	4	57	0.000233927
0.018533	7	1	4	57	0.000908031
0.0185464	1	2	4	57	0.000233927
0.0185777	7	1	4	249	0.000265175
0.0185821	1	1	4	168	0.00083214
0.0185821	4	1	4	168	0.00083214
0.0186357	4	1	4	393	0.000635713
0.0186714	1	1	4	393	0.000671427
0.0186714	1	2	4	57	0.000233927
0.0187205	4	2	4	57	0.000658031
0.018783	4	2	4	57	0.000658031
0.0187964	1	2	4	57	0.000233927
0.0188455	4	2	4	57	0.000595531
0.0188589	1	2	4	57	0.000233927
0.0188857	4	1	4	245	0.000635713
0.0189036	1	1	4	245	0.00065357
0.0189705	4	2	4	36	0.000283031
0.0189839	1	2	4	57	0.000233927
0.019033	4	2	4	36	0.000283031
0.0190464	1	2	4	57	0.000233927
0.0190955	7	1	4	36	0.000283031
0.0191357	4	1	4	164	0.000635713
0.0191536	1	1	4	164	0.00065357
0.019158	7	1	4	57	0.000595531
0.0191714	1	2	4	57	0.000233927
0.0192205	4	2	4	57	0.000908031
0.0192339	4	2	4	57	0.000233927
0.019283	7	1	4	36	0.000283031
0.0192964	1	2	4	57	0.000233927
0.0193455	7	1	4	57	0.000908031
0.0193589	1	2	4	57	0.000233927
0.0193679	7	1	4	216	0.000242855
0.0193857	4	1	4	245	0.000635713
0.0194036	1	1	4	245	0.00065357
0.019408	4	2	4	216	0.000595531
0.0194214	4	2	4	57	0.000233927
0.0194839	1	2	4	57	0.000233927
0.019533	7	1	4	57	0.000908031
0.0195464	1	2	4	57	0.000233927
0.0195598	7	1	4	114	0.000247319
0.0196357	4	1	4	164	0.000635713
0.0196536	1	1	4	164	0.00065357
0.0196714	1	2	4	57	0.000233927
0.0197205	4	2	4	36	0.000283031
