Time	CellId	RNTI	BWPId	SINR(dB)
0.100246	1	2	0	33.1112
0.100246	4	2	0	-19.4363
0.100246	7	1	0	-5.10577
0.100308	1	2	0	33.1112
0.100308	4	2	0	-19.4363
0.100308	7	1	0	-5.10577
0.100366	7	1	0	-5.10577
0.100371	1	2	0	33.5934
0.100371	4	2	0	-19.4363
0.100433	1	2	0	33.1112
0.100433	4	2	0	-19.4363
0.100433	7	1	0	-5.10577
0.100496	1	2	0	33.1112
0.100496	4	2	0	-19.4363
0.100496	7	1	0	-5.10577
0.100558	1	2	0	33.1112
0.100558	4	2	0	-19.4363
0.100558	7	1	0	-5.10577
0.100571	1	2	0	33.1112
0.100621	4	2	0	21.1484
0.100621	7	1	0	9.46877
0.100683	4	2	0	21.5261
0.100683	7	1	0	9.83385
0.100696	1	2	0	33.1112
0.100746	4	2	0	21.1484
0.100746	7	1	0	9.46877
0.100759	1	2	0	33.1112
0.100808	4	2	0	21.1484
0.100808	7	1	0	9.46877
0.100871	4	2	0	21.5261
0.100871	7	1	0	9.83385
0.100884	1	2	0	33.1112
0.100933	4	2	0	21.1484
0.100933	7	1	0	9.46877
0.100946	1	2	0	33.1112
0.100955	4	2	0	19.766
0.100955	7	1	0	8.14264
0.100982	1	1	1	5.10933
0.100982	4	1	1	51.1718
0.101071	1	2	0	33.1112
0.101071	4	2	0	-19.4363
0.101076	7	1	0	36.1709
0.101196	1	2	0	33.1112
0.101196	4	2	0	-19.4363
0.101201	7	1	0	36.1709
0.101232	1	1	1	5.10933
0.101232	4	1	1	51.1718
0.101259	1	2	0	35.9839
0.101259	4	2	0	-19.4361
0.101308	7	1	0	38.6466
0.101326	7	1	0	39.1801
0.101384	1	2	0	35.102
0.101388	7	1	0	35.6114
0.101433	4	2	0	32.0571
0.101446	1	2	0	33.1112
0.101446	7	1	0	-5.10577
0.101482	1	1	1	5.10933
0.101482	4	1	1	51.1718
0.101496	4	2	0	33.2843
0.101558	4	2	0	32.8255
0.101571	1	2	0	35.102
0.101571	7	1	0	-5.11815
0.101621	4	2	0	32.4478
0.101683	4	2	0	33.6621
0.101696	1	2	0	33.1112
0.101696	7	1	0	-5.10577
0.101732	1	1	1	5.10933
0.101732	4	1	1	51.1718
0.101746	4	2	0	33.2843
0.101759	1	2	0	36.4221
0.101763	4	2	0	30.1837
0.101808	7	1	0	38.2433
0.101871	4	2	0	20.1269
0.101871	7	1	0	38.6206
0.101884	1	2	0	61.0085
0.101933	4	2	0	10.9276
0.101933	7	1	0	-2.14227
0.101946	1	2	0	33.1112
0.101946	4	2	0	-19.4363
0.101982	1	1	1	5.10933
0.101982	4	1	1	51.1718
0.101996	7	1	0	38.8024
0.102058	7	1	0	39.0347
0.102071	1	2	0	34.9258
0.102121	4	2	0	19.4128
0.102121	7	1	0	37.9134
0.102134	4	2	0	21.5261
0.102138	7	1	0	36.1758
0.102196	1	2	0	36.4221
0.102196	4	2	0	-19.4362
0.102232	1	1	1	5.10933
0.102232	4	1	1	51.1718
0.102246	7	1	0	38.6569
0.102259	1	2	0	35.102
0.102272	7	1	0	37.3717
0.102286	4	1	1	51.1718
0.102308	4	2	0	31.1513
0.102339	1	1	1	65.2756
0.102371	4	2	0	33.6621
0.102384	1	2	0	33.1112
0.102384	7	1	0	-5.10577
0.102433	4	2	0	33.2843
0.102446	1	2	0	33.1112
0.102446	4	2	0	-19.4363
0.102446	7	1	0	-5.10577
0.102536	4	1	1	51.1718
0.102554	1	1	1	63.5148
