time(s)	cellId	rnti	lcid	packetSize
0.1	1	2	4	55
0.1	4	2	4	55
0.1	7	1	4	55
0.1	1	1	4	80
0.100001	4	1	4	80
0.1001	1	2	4	55
0.1001	4	2	4	55
0.1001	7	1	4	55
0.1001	1	1	4	80
0.100101	4	1	4	80
0.1002	1	2	4	55
0.1002	4	2	4	55
0.1002	7	1	4	55
0.1002	1	1	4	80
0.100201	4	1	4	80
0.1003	1	2	4	55
0.1003	4	2	4	55
0.1003	7	1	4	55
0.1003	1	1	4	80
0.100301	4	1	4	80
0.1004	1	2	4	55
0.1004	4	2	4	55
0.1004	7	1	4	55
0.1004	1	1	4	80
0.100401	4	1	4	80
0.1005	1	2	4	55
0.1005	4	2	4	55
0.1005	7	1	4	55
0.1005	1	1	4	80
0.100501	4	1	4	80
0.1006	1	2	4	55
0.1006	4	2	4	55
0.1006	7	1	4	55
0.1006	1	1	4	80
0.100601	4	1	4	80
0.1007	1	2	4	55
0.1007	4	2	4	55
0.1007	7	1	4	55
0.1007	1	1	4	80
0.100701	4	1	4	80
0.1008	1	2	4	55
0.1008	4	2	4	55
0.1008	7	1	4	55
0.1008	1	1	4	80
0.100801	4	1	4	80
0.1009	1	2	4	55
0.1009	4	2	4	55
0.1009	7	1	4	55
0.1009	1	1	4	80
0.100901	4	1	4	80
0.101	1	2	4	55
0.101	4	2	4	55
0.101	7	1	4	55
0.101	1	1	4	80
0.101001	4	1	4	80
0.1011	1	2	4	55
0.1011	4	2	4	55
0.1011	7	1	4	55
0.1011	1	1	4	80
0.101101	4	1	4	80
0.1012	1	2	4	55
0.1012	4	2	4	55
0.1012	7	1	4	55
0.1012	1	1	4	80
0.101201	4	1	4	80
0.1013	1	2	4	55
0.1013	4	2	4	55
0.1013	7	1	4	55
0.1013	1	1	4	80
0.101301	4	1	4	80
0.1014	1	2	4	55
0.1014	4	2	4	55
0.1014	7	1	4	55
0.1014	1	1	4	80
0.101401	4	1	4	80
0.1015	1	2	4	55
0.1015	4	2	4	55
0.1015	7	1	4	55
0.1015	1	1	4	80
0.101501	4	1	4	80
0.1016	1	2	4	55
0.1016	4	2	4	55
0.1016	7	1	4	55
0.1016	1	1	4	80
0.101601	4	1	4	80
0.1017	1	2	4	55
0.1017	4	2	4	55
0.1017	7	1	4	55
0.1017	1	1	4	80
0.101701	4	1	4	80
0.1018	1	2	4	55
0.1018	4	2	4	55
0.1018	7	1	4	55
0.1018	1	1	4	80
0.101801	4	1	4	80
0.1019	1	2	4	55
0.1019	4	2	4	55
0.1019	7	1	4	55
0.1019	1	1	4	80
0.101901	4	1	4	80
0.102	1	2	4	55
0.102	4	2	4	55
0.102	7	1	4	55
0.102	1	1	4	80
0.102001	4	1	4	80
0.1021	1	2	4	55
0.1021	4	2	4	55
0.1021	7	1	4	55
0.1021	1	1	4	80
0.102101	4	1	4	80
0.1022	1	2	4	55
0.1022	4	2	4	55
0.1022	7	1	4	55
