Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
0.0161205	UE  PHY Txed	1	6	1	1	0	0	RACH_PREAMBLE
0.0161205	UE  PHY Txed	1	6	1	4	0	0	RACH_PREAMBLE
0.0161205	UE  PHY Txed	1	6	1	7	0	0	RACH_PREAMBLE
0.0161205	UE  PHY Txed	1	6	1	1	0	0	RACH_PREAMBLE
0.0161205	UE  PHY Txed	1	6	1	4	0	0	RACH_PREAMBLE
0.0171161	UE  PHY Txed	1	7	1	1	2	0	SRS
0.0183661	UE  PHY Txed	1	8	5	4	2	0	SRS
0.0201786	UE  PHY Txed	2	0	2	4	1	0	SRS
0.0203661	UE  PHY Txed	2	0	5	7	1	0	SRS
0.0209911	UE  PHY Txed	2	0	15	1	1	0	SRS
0.0221161	UE  PHY Txed	2	2	1	1	2	0	SRS
0.0232143	UE  PHY Txed	2	3	0	4	2	1	SRS
0.0233661	UE  PHY Txed	2	3	5	4	2	0	SRS
0.0251786	UE  PHY Txed	2	5	2	4	1	0	SRS
0.0253661	UE  PHY Txed	2	5	5	7	1	0	SRS
0.0254643	UE  PHY Txed	2	5	1	4	1	1	SRS
0.0259911	UE  PHY Txed	2	5	15	1	1	0	SRS
0.0271161	UE  PHY Txed	2	7	1	1	2	0	SRS
0.0283661	UE  PHY Txed	2	8	5	4	2	0	SRS
0.0301786	UE  PHY Txed	3	0	2	4	1	0	SRS
0.0303661	UE  PHY Txed	3	0	5	7	1	0	SRS
0.0309911	UE  PHY Txed	3	0	15	1	1	0	SRS
0.0321161	UE  PHY Txed	3	2	1	1	2	0	SRS
0.0329643	UE  PHY Txed	3	2	3	1	1	1	SRS
0.0333661	UE  PHY Txed	3	3	5	4	2	0	SRS
0.0351786	UE  PHY Txed	3	5	2	4	1	0	SRS
0.0353661	UE  PHY Txed	3	5	5	7	1	0	SRS
0.0354643	UE  PHY Txed	3	5	1	7	1	1	SRS
0.0359643	UE  PHY Txed	3	5	3	1	2	1	SRS
0.0359911	UE  PHY Txed	3	5	15	1	1	0	SRS
0.0371161	UE  PHY Txed	3	7	1	1	2	0	SRS
0.0383661	UE  PHY Txed	3	8	5	4	2	0	SRS
0.0401786	UE  PHY Txed	4	0	2	4	1	0	SRS
0.0403661	UE  PHY Txed	4	0	5	7	1	0	SRS
0.0409911	UE  PHY Txed	4	0	15	1	1	0	SRS
0.0421161	UE  PHY Txed	4	2	1	1	2	0	SRS
0.0432143	UE  PHY Txed	4	3	0	4	2	1	SRS
0.0433661	UE  PHY Txed	4	3	5	4	2	0	SRS
0.0451786	UE  PHY Txed	4	5	2	4	1	0	SRS
0.0453661	UE  PHY Txed	4	5	5	7	1	0	SRS
0.0454643	UE  PHY Txed	4	5	1	4	1	1	SRS
0.0459911	UE  PHY Txed	4	5	15	1	1	0	SRS
0.0471161	UE  PHY Txed	4	7	1	1	2	0	SRS
0.0483661	UE  PHY Txed	4	8	5	4	2	0	SRS
0.0501786	UE  PHY Txed	5	0	2	4	1	0	SRS
0.0503661	UE  PHY Txed	5	0	5	7	1	0	SRS
0.0509911	UE  PHY Txed	5	0	15	1	1	0	SRS
0.0521161	UE  PHY Txed	5	2	1	1	2	0	SRS
0.0529643	UE  PHY Txed	5	2	3	1	1	1	SRS
0.0533661	UE  PHY Txed	5	3	5	4	2	0	SRS
0.0551786	UE  PHY Txed	5	5	2	4	1	0	SRS
0.0553661	UE  PHY Txed	5	5	5	7	1	0	SRS
0.0554643	UE  PHY Txed	5	5	1	7	1	1	SRS
0.0559643	UE  PHY Txed	5	5	3	1	2	1	SRS
0.0559911	UE  PHY Txed	5	5	15	1	1	0	SRS
0.0571161	UE  PHY Txed	5	7	1	1	2	0	SRS
0.0583661	UE  PHY Txed	5	8	5	4	2	0	SRS
0.0601786	UE  PHY Txed	6	0	2	4	1	0	SRS
0.0603661	UE  PHY Txed	6	0	5	7	1	0	SRS
0.0609911	UE  PHY Txed	6	0	15	1	1	0	SRS
0.0621161	UE  PHY Txed	6	2	1	1	2	0	SRS
0.0632143	UE  PHY Txed	6	3	0	4	2	1	SRS
0.0633661	UE  PHY Txed	6	3	5	4	2	0	SRS
0.0651786	UE  PHY Txed	6	5	2	4	1	0	SRS
0.0653661	UE  PHY Txed	6	5	5	7	1	0	SRS
0.0654643	UE  PHY Txed	6	5	1	4	1	1	SRS
