% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
0.100062	1	0	0	2	10	0	3	1	12	15	1	0	0	39
0.100062	4	0	0	2	10	0	3	1	12	15	1	0	0	39
0.100062	7	0	0	1	10	0	3	1	12	15	1	0	0	39
0.100125	1	0	0	2	10	0	4	1	12	14	1	0	0	39
0.100125	4	0	0	2	10	0	4	1	12	14	1	0	0	39
0.100125	7	0	0	1	10	0	4	1	12	14	1	0	0	39
0.100187	1	0	0	2	10	0	5	1	12	13	1	0	0	39
0.100187	4	0	0	2	10	0	5	1	12	13	1	0	0	39
0.100187	7	0	0	1	10	0	5	1	11	13	1	0	0	35
0.10025	1	1	0	1	10	0	3	1	12	15	1	0	0	171
0.10025	4	1	0	1	10	0	3	1	12	15	1	0	0	171
0.10025	1	0	0	2	10	0	6	1	12	12	1	0	0	39
0.10025	4	0	0	2	10	0	6	1	12	12	1	0	0	39
0.10025	7	0	0	1	10	0	6	1	12	12	1	0	0	39
0.100312	1	0	0	2	10	0	7	1	12	11	1	0	0	39
0.100312	4	0	0	2	10	0	7	1	12	11	1	0	0	39
0.100312	7	0	0	1	10	0	7	1	12	11	1	0	0	39
0.100375	1	0	0	2	10	0	8	1	12	15	1	0	0	39
0.100375	7	0	0	1	10	0	8	1	12	10	1	0	0	39
0.100437	1	0	0	2	10	0	9	1	12	14	1	0	28	1454
0.100437	7	0	0	1	10	0	9	1	12	15	1	0	0	39
0.1005	1	1	0	1	10	1	0	1	12	14	1	0	0	171
0.1005	4	1	0	1	10	1	0	1	12	14	1	0	0	171
0.1005	1	0	0	2	10	0	10	1	12	13	1	0	28	1454
0.1005	7	0	0	1	10	0	10	1	12	14	1	0	0	39
0.100562	1	0	0	2	10	0	11	1	12	12	1	0	28	1454
0.100562	7	0	0	1	10	0	11	1	12	13	1	0	0	39
0.100625	1	0	0	2	10	0	12	1	12	11	1	0	28	1454
0.100625	7	0	0	1	10	0	12	1	12	12	1	0	0	39
0.100687	1	0	0	2	10	0	13	1	12	15	1	0	28	1454
0.100687	7	0	0	1	10	0	13	1	12	11	1	0	0	39
0.10075	1	1	0	1	10	1	1	1	12	13	1	0	0	171
0.10075	4	1	0	1	10	1	1	1	12	13	1	0	0	171
0.10075	1	0	0	2	10	0	14	1	12	14	1	0	28	1454
0.10075	7	0	0	1	10	0	14	1	12	15	1	0	0	39
0.100812	1	0	0	2	10	0	15	1	11	13	1	0	28	1332
0.100812	7	0	0	1	10	0	15	1	12	14	1	0	0	39
0.100875	1	0	0	2	10	1	0	1	12	12	1	0	28	1454
0.100875	7	0	0	1	10	1	0	1	12	13	1	0	0	39
0.100937	1	0	0	2	10	1	1	1	12	11	1	0	28	1454
0.100937	7	0	0	1	10	1	1	1	12	12	1	0	0	39
0.101	1	1	0	1	10	1	2	1	12	12	1	0	0	171
0.101	4	1	0	1	10	1	2	1	12	12	1	0	0	171
0.101	1	0	0	2	10	1	2	1	12	15	1	0	28	1454
0.101	7	0	0	1	10	1	2	1	12	11	1	0	0	39
0.101062	1	0	0	2	10	1	3	1	12	14	1	0	28	1454
0.101062	7	0	0	1	10	1	3	1	12	15	1	0	0	39
0.101125	1	0	0	2	10	1	4	1	12	13	1	0	28	1454
0.101125	4	0	0	2	10	1	4	1	12	13	1	0	0	39
0.101125	7	0	0	1	10	1	4	1	12	14	1	0	0	39
0.101187	1	0	0	2	10	1	5	1	12	12	1	0	28	1454
0.101187	7	0	0	1	10	1	5	1	12	13	1	0	6	155
0.10125	1	1	0	1	10	1	3	1	12	11	1	0	0	171
0.10125	4	1	0	1	10	1	3	1	12	11	1	0	0	171
0.10125	1	0	0	2	10	1	6	1	12	11	1	0	28	1454
0.10125	7	0	0	1	10	1	6	1	12	12	1	0	0	39
0.101312	1	0	0	2	10	1	7	1	12	15	1	0	28	1454
0.101312	4	0	0	2	10	1	7	1	12	15	1	0	0	39
0.101312	7	0	0	1	10	1	7	1	12	11	1	0	0	39
0.101375	1	0	0	2	10	1	8	1	12	14	1	0	28	1454
0.101375	4	0	0	2	10	1	8	1	12	14	1	0	0	39
0.101375	7	0	0	1	10	1	8	1	12	15	1	0	0	39
0.101437	1	0	0	2	10	1	9	1	12	13	1	0	28	1454
0.101437	7	0	0	1	10	1	9	1	12	14	1	0	0	39
0.1015	1	1	0	1	10	2	0	1	12	15	1	0	0	171
0.1015	4	1	0	1	10	2	0	1	12	15	1	0	0	171
0.1015	1	0	0	2	10	1	10	1	12	12	1	0	28	1454
0.1015	4	0	0	2	10	1	10	1	12	12	1	0	0	39
0.101562	1	0	0	2	10	1	11	1	12	11	1	0	28	1454
0.101562	4	0	0	2	10	1	11	1	12	11	1	0	0	39
0.101562	7	0	0	1	10	1	11	1	12	12	1	0	0	39
0.101625	1	0	0	2	10	1	12	1	12	15	1	0	28	1454
0.101625	7	0	0	1	10	1	12	1	12	11	1	0	0	39
0.101688	1	0	0	2	10	1	13	1	12	14	1	0	28	1454
0.101688	7	0	0	1	10	1	13	1	12	15	1	0	0	39
0.10175	1	1	0	1	10	2	1	1	12	14	1	0	12	1605
0.10175	4	1	0	1	10	2	1	1	12	14	1	0	28	5990
0.10175	1	0	0	2	10	1	14	1	12	13	1	0	28	1454
0.10175	7	0	0	1	10	1	14	1	12	14	1	0	0	39
0.101813	1	0	0	2	10	1	15	1	12	12	1	0	28	1454
0.101875	1	0	0	2	10	2	0	1	12	11	1	0	28	1454
0.101875	7	0	0	1	10	2	0	1	12	12	1	0	0	39
0.101938	1	0	0	2	10	2	1	1	11	15	1	0	28	1332
0.101938	7	0	0	1	10	2	1	1	12	11	1	0	0	39
0.102	1	1	0	1	10	2	2	1	12	13	1	0	12	1605
0.102	4	1	0	1	10	2	2	1	12	13	1	0	28	5990
0.102	1	0	0	2	10	2	2	1	12	14	1	0	28	1454
