time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.100721	1	2	4	280	0.000719997
0.100721	1	2	4	280	0.000709997
0.100721	1	2	4	280	0.000699997
0.100721	1	2	4	280	0.000689997
0.100721	1	2	4	280	0.000679997
0.100783	1	2	4	280	0.000732497
0.100783	1	2	4	280	0.000722497
0.100783	1	2	4	280	0.000712497
0.100783	1	2	4	280	0.000702497
0.100783	1	2	4	280	0.000692497
0.100783	1	2	4	280	0.000682497
0.100846	1	2	4	280	0.000734997
0.100846	1	2	4	280	0.000724997
0.100846	1	2	4	280	0.000714997
0.100846	1	2	4	280	0.000704997
0.100846	1	2	4	280	0.000694997
0.100846	7	1	4	280	0.000844485
0.100908	1	2	4	280	0.000747497
0.100908	1	2	4	280	0.000737497
0.100908	1	2	4	280	0.000727497
0.100908	1	2	4	280	0.000717497
0.100908	1	2	4	280	0.000707497
0.100971	1	2	4	280	0.000759997
0.100971	1	2	4	280	0.000749997
0.100971	1	2	4	280	0.000739997
0.100971	1	2	4	280	0.000729997
0.100971	1	2	4	280	0.000719997
0.101033	1	2	4	280	0.000772497
0.101033	1	2	4	280	0.000762497
0.101033	1	2	4	280	0.000752497
0.101033	1	2	4	280	0.000742497
0.101033	1	2	4	280	0.000732497
0.101091	1	2	4	280	0.000780533
0.101091	1	2	4	280	0.000770533
0.101091	1	2	4	280	0.000760533
0.101091	1	2	4	280	0.000750533
0.101091	1	2	4	280	0.000740533
0.101158	1	2	4	280	0.000797497
0.101158	1	2	4	280	0.000787497
0.101158	1	2	4	280	0.000777497
0.101158	1	2	4	280	0.000767497
0.101158	1	2	4	280	0.000757497
0.101221	1	2	4	280	0.000809997
0.101221	1	2	4	280	0.000799997
0.101221	1	2	4	280	0.000789997
0.101221	1	2	4	280	0.000779997
0.101221	1	2	4	280	0.000769997
0.101283	1	2	4	280	0.000822497
0.101283	1	2	4	280	0.000812497
0.101283	1	2	4	280	0.000802497
0.101283	1	2	4	280	0.000792497
0.101283	1	2	4	280	0.000782497
0.101346	1	2	4	280	0.000834997
0.101346	1	2	4	280	0.000824997
0.101346	1	2	4	280	0.000814997
0.101346	1	2	4	280	0.000804997
0.101346	1	2	4	280	0.000794997
0.101346	7	1	4	280	0.00133449
0.101408	1	2	4	280	0.000847497
0.101408	1	2	4	280	0.000837497
0.101408	1	2	4	280	0.000827497
0.101408	1	2	4	280	0.000817497
0.101408	1	2	4	280	0.000807497
