time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.100346	1	2	4	36	0.000283031
0.100346	7	1	4	36	0.000283031
0.100408	1	2	4	36	0.000283031
0.100408	7	1	4	36	0.000283031
0.100466	7	1	4	32	0.000278567
0.100471	1	2	4	36	0.000283031
0.100533	1	2	4	36	0.000283031
0.100533	7	1	4	36	0.000283031
0.100596	1	2	4	36	0.000283031
0.100596	7	1	4	36	0.000283031
0.100658	1	2	4	36	0.000283031
0.100658	7	1	4	36	0.000283031
0.100721	1	2	4	1451	0.000283031
0.100721	7	1	4	36	0.000283031
0.100783	1	2	4	1451	0.000283031
0.100783	7	1	4	36	0.000283031
0.100846	1	2	4	1451	0.000283031
0.100846	7	1	4	36	0.000283031
0.100908	1	2	4	1451	0.000283031
0.100908	7	1	4	36	0.000283031
0.100971	1	2	4	1451	0.000283031
0.100971	7	1	4	36	0.000283031
0.101033	1	2	4	1451	0.000283031
0.101033	7	1	4	36	0.000283031
0.101082	1	1	4	168	0.00083214
0.101082	4	1	4	168	0.00083214
0.101091	1	2	4	1329	0.000278567
0.101096	4	2	4	36	0.000908031
0.101096	7	1	4	36	0.000283031
0.101158	1	2	4	1451	0.000283031
0.101158	7	1	4	36	0.000283031
0.101221	1	2	4	1451	0.000283031
0.101221	7	1	4	36	0.000283031
0.101283	1	2	4	1451	0.000283031
0.101283	7	1	4	36	0.000283031
0.101332	1	1	4	168	0.00083214
0.101332	4	1	4	168	0.00083214
0.101346	1	2	4	1451	0.000283031
0.101346	7	1	4	36	0.000283031
0.101408	1	2	4	1451	0.000283031
0.101408	7	1	4	36	0.000283031
0.101471	1	2	4	1451	0.000283031
0.101533	1	2	4	1451	0.000283031
0.101533	7	1	4	36	0.000283031
0.101582	1	1	4	168	0.00083214
0.101582	4	1	4	168	0.00083214
0.101596	1	2	4	1451	0.000283031
0.101596	7	1	4	36	0.000283031
0.101658	1	2	4	1451	0.000283031
0.101658	7	1	4	36	0.000283031
0.101721	1	2	4	1451	0.000283031
0.101721	7	1	4	36	0.000283031
0.101783	1	2	4	1451	0.000283031
0.101832	1	1	4	168	0.00083214
0.101832	4	1	4	168	0.00083214
0.101846	1	2	4	1451	0.000283031
0.101846	7	1	4	36	0.000283031
0.101908	1	2	4	1451	0.000283031
0.101908	7	1	4	36	0.000283031
0.101971	1	2	4	1451	0.000283031
0.101971	7	1	4	36	0.000283031
0.102033	1	2	4	1451	0.000283031
0.102033	7	1	4	36	0.000283031
0.102082	1	1	4	168	0.00083214
0.102082	4	1	4	168	0.00083214
0.102096	1	2	4	1451	0.000283031
0.102096	7	1	4	152	0.000908031
0.102158	1	2	4	1451	0.000283031
0.102158	7	1	4	36	0.000283031
0.102216	1	2	4	1329	0.000278567
0.102221	4	2	4	36	0.000908031
0.102221	7	1	4	36	0.000283031
0.102283	1	2	4	1451	0.000283031
0.102283	7	1	4	36	0.000283031
0.102332	1	1	4	168	0.00083214
0.102332	4	1	4	168	0.00083214
0.102346	1	2	4	1451	0.000283031
0.102346	7	1	4	36	0.000283031
0.102408	1	2	4	1451	0.000283031
0.102408	7	1	4	36	0.000283031
0.102471	1	2	4	1451	0.000283031
0.102471	7	1	4	36	0.000283031
0.102533	1	2	4	1451	0.000283031
0.102533	7	1	4	36	0.000283031
0.102582	1	1	4	1602	0.00083214
0.102582	4	1	4	5987	0.00083214
0.102596	1	2	4	1451	0.000283031
0.102658	1	2	4	1451	0.000283031
