Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	Harq ID	K1 Delay
0.100192	DL DCI Rxed	10	0	3	1	2	0	15	2
0.100192	DL DCI Rxed	10	0	3	4	2	0	15	2
0.100192	DL DCI Rxed	10	0	3	7	1	0	15	2
0.100254	DL DCI Rxed	10	0	4	1	2	0	14	2
0.100254	DL DCI Rxed	10	0	4	4	2	0	14	2
0.100254	DL DCI Rxed	10	0	4	7	1	0	14	2
0.100317	DL DCI Rxed	10	0	5	1	2	0	13	2
0.100317	DL DCI Rxed	10	0	5	4	2	0	13	2
0.100317	DL DCI Rxed	10	0	5	7	1	0	13	2
0.100371	HARQ FD Txed	10	0	5	1	2	0	15	2
0.100371	HARQ FD Txed	10	0	5	4	2	0	15	2
0.100379	DL DCI Rxed	10	0	6	1	2	0	12	2
0.100379	DL DCI Rxed	10	0	6	4	2	0	12	2
0.100379	DL DCI Rxed	10	0	6	7	1	0	12	2
0.100433	HARQ FD Txed	10	0	6	1	2	0	14	2
0.100433	HARQ FD Txed	10	0	6	4	2	0	14	2
0.100433	HARQ FD Txed	10	0	6	7	1	0	15	2
0.100433	HARQ FD Txed	10	0	6	7	1	0	14	2
0.100442	DL DCI Rxed	10	0	7	1	2	0	11	2
0.100442	DL DCI Rxed	10	0	7	4	2	0	11	2
0.100442	DL DCI Rxed	10	0	7	7	1	0	11	2
0.100496	HARQ FD Txed	10	0	7	1	2	0	13	2
0.100496	HARQ FD Txed	10	0	7	4	2	0	13	2
0.100496	HARQ FD Txed	10	0	7	7	1	0	13	2
0.100504	DL DCI Rxed	10	0	8	1	2	0	15	2
0.100504	DL DCI Rxed	10	0	8	4	2	0	15	2
0.100504	DL DCI Rxed	10	0	8	7	1	0	10	2
0.100558	HARQ FD Txed	10	0	8	1	2	0	12	2
0.100558	HARQ FD Txed	10	0	8	4	2	0	12	2
0.100558	HARQ FD Txed	10	0	8	7	1	0	12	2
0.100567	DL DCI Rxed	10	0	9	1	2	0	14	2
0.100567	DL DCI Rxed	10	0	9	4	2	0	14	2
0.100567	DL DCI Rxed	10	0	9	7	1	0	15	2
0.100621	HARQ FD Txed	10	0	9	1	2	0	11	2
0.100621	HARQ FD Txed	10	0	9	4	2	0	11	2
0.100621	HARQ FD Txed	10	0	9	7	1	0	11	2
0.100629	DL DCI Rxed	10	0	10	1	2	0	13	2
0.100629	DL DCI Rxed	10	0	10	4	2	0	13	2
0.100629	DL DCI Rxed	10	0	10	7	1	0	14	2
0.100683	HARQ FD Txed	10	0	10	1	2	0	15	2
0.100683	HARQ FD Txed	10	0	10	4	2	0	15	2
0.100683	HARQ FD Txed	10	0	10	7	1	0	10	2
0.100692	DL DCI Rxed	10	0	11	1	2	0	12	2
0.100692	DL DCI Rxed	10	0	11	4	2	0	12	2
