Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
0	gNB PHY Txed	0	0	0	1	0	0	MIB
0	gNB PHY Txed	0	0	0	4	0	0	MIB
0	gNB PHY Txed	0	0	0	7	0	0	MIB
0.005	gNB PHY Txed	0	5	0	1	0	0	SIB1
0.005	gNB PHY Txed	0	5	0	4	0	0	SIB1
0.005	gNB PHY Txed	0	5	0	7	0	0	SIB1
0.01	gNB PHY Txed	1	0	0	1	0	0	MIB
0.01	gNB PHY Txed	1	0	0	4	0	0	MIB
0.01	gNB PHY Txed	1	0	0	7	0	0	MIB
0.015	gNB PHY Txed	1	5	0	1	0	0	SIB1
0.015	gNB PHY Txed	1	5	0	4	0	0	SIB1
0.015	gNB PHY Txed	1	5	0	7	0	0	SIB1
0.01625	gNB PHY Txed	1	6	4	1	0	0	RAR
0.01625	gNB PHY Txed	1	6	4	4	0	0	RAR
0.01625	gNB PHY Txed	1	6	4	7	0	0	RAR
0.0169375	gNB PHY Txed	1	6	15	1	0	0	UL_UCI
0.0181875	gNB PHY Txed	1	8	3	4	0	0	UL_UCI
0.02	gNB PHY Txed	2	0	0	1	0	0	MIB
0.02	gNB PHY Txed	2	0	0	4	0	0	UL_UCI
0.02	gNB PHY Txed	2	0	0	4	0	0	MIB
0.02	gNB PHY Txed	2	0	0	7	0	0	MIB
0.0201875	gNB PHY Txed	2	0	3	7	0	0	UL_UCI
0.0208125	gNB PHY Txed	2	0	13	1	0	0	UL_UCI
0.0219375	gNB PHY Txed	2	1	15	1	0	0	UL_UCI
0.0225	gNB PHY Txed	2	2	2	4	0	1	UL_UCI
0.0231875	gNB PHY Txed	2	3	3	4	0	0	UL_UCI
0.02475	gNB PHY Txed	2	4	3	4	0	1	UL_UCI
0.025	gNB PHY Txed	2	5	0	1	0	0	SIB1
0.025	gNB PHY Txed	2	5	0	4	0	0	SIB1
0.025	gNB PHY Txed	2	5	0	4	0	0	UL_UCI
0.025	gNB PHY Txed	2	5	0	7	0	0	SIB1
0.0251875	gNB PHY Txed	2	5	3	7	0	0	UL_UCI
0.0258125	gNB PHY Txed	2	5	13	1	0	0	UL_UCI
0.0269375	gNB PHY Txed	2	6	15	1	0	0	UL_UCI
0.0281875	gNB PHY Txed	2	8	3	4	0	0	UL_UCI
0.03	gNB PHY Txed	3	0	0	1	0	0	MIB
0.03	gNB PHY Txed	3	0	0	4	0	0	UL_UCI
0.03	gNB PHY Txed	3	0	0	4	0	0	MIB
0.03	gNB PHY Txed	3	0	0	7	0	0	MIB
0.0301875	gNB PHY Txed	3	0	3	7	0	0	UL_UCI
0.0308125	gNB PHY Txed	3	0	13	1	0	0	UL_UCI
0.0319375	gNB PHY Txed	3	1	15	1	0	0	UL_UCI
0.03225	gNB PHY Txed	3	2	1	1	0	1	UL_UCI
0.0331875	gNB PHY Txed	3	3	3	4	0	0	UL_UCI
0.03475	gNB PHY Txed	3	4	3	7	0	1	UL_UCI
0.035	gNB PHY Txed	3	5	0	1	0	0	SIB1
0.035	gNB PHY Txed	3	5	0	4	0	0	SIB1
0.035	gNB PHY Txed	3	5	0	4	0	0	UL_UCI
0.035	gNB PHY Txed	3	5	0	7	0	0	SIB1
0.0351875	gNB PHY Txed	3	5	3	7	0	0	UL_UCI
0.03525	gNB PHY Txed	3	5	1	1	0	1	UL_UCI
0.0358125	gNB PHY Txed	3	5	13	1	0	0	UL_UCI
0.0369375	gNB PHY Txed	3	6	15	1	0	0	UL_UCI
0.0381875	gNB PHY Txed	3	8	3	4	0	0	UL_UCI
0.04	gNB PHY Txed	4	0	0	1	0	0	MIB
0.04	gNB PHY Txed	4	0	0	4	0	0	UL_UCI
0.04	gNB PHY Txed	4	0	0	4	0	0	MIB
0.04	gNB PHY Txed	4	0	0	7	0	0	MIB
0.0401875	gNB PHY Txed	4	0	3	7	0	0	UL_UCI
0.0408125	gNB PHY Txed	4	0	13	1	0	0	UL_UCI
0.0419375	gNB PHY Txed	4	1	15	1	0	0	UL_UCI
0.0425	gNB PHY Txed	4	2	2	4	0	1	UL_UCI
0.0431875	gNB PHY Txed	4	3	3	4	0	0	UL_UCI
0.04475	gNB PHY Txed	4	4	3	4	0	1	UL_UCI
0.045	gNB PHY Txed	4	5	0	1	0	0	SIB1
0.045	gNB PHY Txed	4	5	0	4	0	0	SIB1
0.045	gNB PHY Txed	4	5	0	4	0	0	UL_UCI
0.045	gNB PHY Txed	4	5	0	7	0	0	SIB1
0.0451875	gNB PHY Txed	4	5	3	7	0	0	UL_UCI
0.0458125	gNB PHY Txed	4	5	13	1	0	0	UL_UCI
0.0469375	gNB PHY Txed	4	6	15	1	0	0	UL_UCI
0.0481875	gNB PHY Txed	4	8	3	4	0	0	UL_UCI
0.05	gNB PHY Txed	5	0	0	1	0	0	MIB
0.05	gNB PHY Txed	5	0	0	4	0	0	UL_UCI
0.05	gNB PHY Txed	5	0	0	4	0	0	MIB
0.05	gNB PHY Txed	5	0	0	7	0	0	MIB
0.0501875	gNB PHY Txed	5	0	3	7	0	0	UL_UCI
0.0508125	gNB PHY Txed	5	0	13	1	0	0	UL_UCI
0.0519375	gNB PHY Txed	5	1	15	1	0	0	UL_UCI
0.05225	gNB PHY Txed	5	2	1	1	0	1	UL_UCI
0.0531875	gNB PHY Txed	5	3	3	4	0	0	UL_UCI
0.05475	gNB PHY Txed	5	4	3	7	0	1	UL_UCI
0.055	gNB PHY Txed	5	5	0	1	0	0	SIB1
0.055	gNB PHY Txed	5	5	0	4	0	0	UL_UCI
0.055	gNB PHY Txed	5	5	0	4	0	0	SIB1
0.055	gNB PHY Txed	5	5	0	7	0	0	SIB1
0.0551875	gNB PHY Txed	5	5	3	7	0	0	UL_UCI
0.05525	gNB PHY Txed	5	5	1	1	0	1	UL_UCI
0.0558125	gNB PHY Txed	5	5	13	1	0	0	UL_UCI
0.0569375	gNB PHY Txed	5	6	15	1	0	0	UL_UCI
0.0581875	gNB PHY Txed	5	8	3	4	0	0	UL_UCI
0.06	gNB PHY Txed	6	0	0	1	0	0	MIB
0.06	gNB PHY Txed	6	0	0	4	0	0	UL_UCI
0.06	gNB PHY Txed	6	0	0	4	0	0	MIB
0.06	gNB PHY Txed	6	0	0	7	0	0	MIB
0.0601875	gNB PHY Txed	6	0	3	7	0	0	UL_UCI
0.0608125	gNB PHY Txed	6	0	13	1	0	0	UL_UCI
0.0619375	gNB PHY Txed	6	1	15	1	0	0	UL_UCI
0.0625	gNB PHY Txed	6	2	2	4	0	1	UL_UCI
0.0631875	gNB PHY Txed	6	3	3	4	0	0	UL_UCI
0.06475	gNB PHY Txed	6	4	3	4	0	1	UL_UCI
0.065	gNB PHY Txed	6	5	0	1	0	0	SIB1
0.065	gNB PHY Txed	6	5	0	4	0	0	SIB1
0.065	gNB PHY Txed	6	5	0	4	0	0	UL_UCI
0.065	gNB PHY Txed	6	5	0	7	0	0	SIB1
0.0651875	gNB PHY Txed	6	5	3	7	0	0	UL_UCI
0.0658125	gNB PHY Txed	6	5	13	1	0	0	UL_UCI
