Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	rnti	tbSize	mcs	rank	rv	SINR(dB)	CQI	corrupt	TBler
0.100246	DL	10	0	3	1	12	1	0	2	39	0	1	0	23.1112	15	0	0
0.100246	DL	10	0	3	1	12	4	0	2	39	0	1	0	-9.44036	0	1	0.999993
0.100246	DL	10	0	3	1	12	7	0	1	39	0	1	0	3.66677	5	0	0
0.100308	DL	10	0	4	1	12	1	0	2	39	0	1	0	23.1112	15	0	0
0.100308	DL	10	0	4	1	12	4	0	2	39	0	1	0	-9.44036	0	1	0.999993
0.100308	DL	10	0	4	1	12	7	0	1	39	0	1	0	3.66677	5	0	0
0.100366	DL	10	0	5	1	11	7	0	1	35	0	1	0	3.66677	5	0	0
0.100371	DL	10	0	5	1	12	1	0	2	39	0	1	0	23.5934	15	0	0
0.100371	DL	10	0	5	1	12	4	0	2	39	0	1	0	-9.44001	0	1	0.999993
0.100433	DL	10	0	6	1	12	1	0	2	39	0	1	0	23.1112	15	0	0
0.100433	DL	10	0	6	1	12	4	0	2	39	0	1	0	-9.44036	0	1	0.999993
0.100433	DL	10	0	6	1	12	7	0	1	39	0	1	0	3.66677	5	0	0
0.100496	DL	10	0	7	1	12	1	0	2	39	0	1	0	23.1112	15	0	0
0.100496	DL	10	0	7	1	12	4	0	2	39	0	1	0	-9.44036	0	1	0.999993
0.100496	DL	10	0	7	1	12	7	0	1	39	0	1	0	3.66677	5	0	0
0.100558	DL	10	0	8	1	12	1	0	2	39	0	1	0	23.1112	15	0	0
0.100558	DL	10	0	8	1	12	4	0	2	39	0	1	1	-9.44036	0	1	0.0968173
0.100558	DL	10	0	8	1	12	7	0	1	39	0	1	0	3.66677	5	0	0
0.100621	DL	10	0	9	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.100621	DL	10	0	9	1	12	4	0	2	39	0	1	1	-9.44036	0	0	0.0968173
0.100621	DL	10	0	9	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.100683	DL	10	0	10	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.100683	DL	10	0	10	1	12	4	0	2	39	0	1	1	-9.44036	0	0	0.0968173
0.100683	DL	10	0	10	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.100746	DL	10	0	11	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.100746	DL	10	0	11	1	12	4	0	2	39	0	1	1	-9.44036	0	0	0.0968173
0.100746	DL	10	0	11	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.100808	DL	10	0	12	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.100808	DL	10	0	12	1	12	4	0	2	39	0	1	1	-9.44036	0	0	0.0968173
0.100808	DL	10	0	12	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.100871	DL	10	0	13	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.100871	DL	10	0	13	1	12	4	0	2	39	0	1	2	-9.44036	0	0	7.27807e-13
0.100871	DL	10	0	13	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.100933	DL	10	0	14	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.100933	DL	10	0	14	1	12	4	0	2	39	0	1	0	-9.44036	0	1	0.999993
0.100933	DL	10	0	14	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.100982	DL	10	0	3	1	12	1	1	1	171	0	1	0	5.1093	7	0	0
0.100982	DL	10	0	3	1	12	4	1	1	171	0	1	0	46.7866	15	0	0
0.100991	DL	10	0	15	1	11	1	0	2	1332	28	1	0	23.1112	15	0	0
0.100996	DL	10	0	15	1	12	4	0	2	39	0	1	0	10.6077	9	0	0
0.100996	DL	10	0	15	1	12	7	0	1	229	8	1	0	4.67545	6	0	0
0.101058	DL	10	1	0	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.101058	DL	10	1	0	1	12	4	0	2	39	0	1	0	-9.44036	0	1	0.999993
0.101058	DL	10	1	0	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.101121	DL	10	1	1	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.101121	DL	10	1	1	1	12	4	0	2	39	0	1	0	-9.44036	0	1	0.999993
0.101121	DL	10	1	1	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.101183	DL	10	1	2	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.101183	DL	10	1	2	1	12	4	0	2	39	0	1	0	-9.44036	0	1	0.999993
0.101183	DL	10	1	2	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
